_id,ID,NAME,ADDRESS,ADDRESS_POINT_ID,ADDRESS_ID,CENTRELINE_ID,MAINT_STAGE,ADDRESS_NUMBER,LINEAR_NAME_FULL,POSTAL_CODE,GENERAL_USE,CLASS_FAMILY_DESC,ADDRESS_ID_LINK,PLACE_NAME,X,Y,LATITUDE,LONGITUDE,WARD_NAME,MUNICIPALITY_NAME,OBJECTID,geometry,lon,lat,geometry
56,10,FIRE STATION 125,1109 LESLIE ST,12491266,275510,30004027,REGULAR,1109,Leslie St,NA,Fire Station,"Land, Structure, Structure Entrance",NA,Fire Station 125,NA,NA,NA,NA,Don Valley East (16),North York,2981001,"c(-79.3491121871106, 43.721135794691)",-79.3491121871106,43.721135794691,"c(-79.3491121871106, 43.721135794691)"
57,17,FIRE STATION 142,2753 JANE ST,531061,461520,442012,REGULAR,2753,Jane St,NA,Fire/Ambulance Stations,"Land, Structure, Structure Entrance",NA,"Fire Station 142, Ambulance Station 15",NA,NA,NA,NA,Humber River-Black Creek (7),North York,2982185,"c(-79.5143706434163, 43.7459827062059)",-79.5143706434163,43.7459827062059,"c(-79.5143706434163, 43.7459827062059)"
58,62,FIRE STATION 344,240 HOWLAND AVE,7974292,121185,30017353,REGULAR,240,Howland Ave,NA,Fire Station,"Land, Structure, Structure Entrance",NA,Fire Station 344,NA,NA,NA,NA,University-Rosedale (11),former Toronto,2997539,"c(-79.4118241402967, 43.6729622271664)",-79.4118241402967,43.6729622271664,"c(-79.4118241402967, 43.6729622271664)"
59,47,FIRE STATION 315,132 BELLEVUE AVE,770042,149925,30017518,REGULAR,132,Bellevue Ave,NA,Fire Station,"Land, Structure, Structure Entrance",NA,Fire Station 315,NA,NA,NA,NA,University-Rosedale (11),former Toronto,3000730,"c(-79.4047817252783, 43.6568245964379)",-79.4047817252783,43.6568245964379,"c(-79.4047817252783, 43.6568245964379)"
60,53,FIRE STATION 326,30 KNOX AVE,14076681,1481088,30021411,REGULAR,30,Knox Ave,M4L 3W3,Fire Station,Structure Entrance,726017,Fire Station 326,NA,NA,NA,NA,Toronto-Danforth (14),former Toronto,3024003,"c(-79.3250072916157, 43.6615387594206)",-79.3250072916157,43.6615387594206,"c(-79.3250072916157, 43.6615387594206)"
61,52,FIRE STATION 325,475 DUNDAS ST E,6168242,249459,6168241,REGULAR,475,Dundas St E,NA,Fire Station,"Land, Structure, Structure Entrance",NA,Fire Station 325,NA,NA,NA,NA,Toronto Centre (13),former Toronto,3030229,"c(-79.3648542022226, 43.6593705340714)",-79.3648542022226,43.6593705340714,"c(-79.3648542022226, 43.6593705340714)"
62,82,FIRE STATION 443,1724 ISLINGTON AVE,1009102,38844,30023253,REGULAR,1724,Islington Ave,NA,Fire Station,"Land, Structure, Structure Entrance",NA,Fire Station 443,NA,NA,NA,NA,Etobicoke Centre (2),Etobicoke,3035181,"c(-79.5385536449026, 43.678071015543)",-79.5385536449026,43.678071015543,"c(-79.5385536449026, 43.678071015543)"
63,20,FIRE STATION 146,2220 JANE ST,4723662,458125,30006795,REGULAR,2220,Jane St,NA,Fire Station,"Land, Structure, Structure Entrance",NA,Fire Station 146,NA,NA,NA,NA,Humber River-Black Creek (7),North York,3072600,"c(-79.5097760967724, 43.7235728614792)",-79.5097760967724,43.7235728614792,"c(-79.5097760967724, 43.7235728614792)"
64,8,FIRE STATION 122,2545 BAYVIEW AVE,487657,420567,441346,REGULAR,2545,Bayview Ave,NA,Fire Station,"Land, Structure, Structure Entrance",NA,Fire Station 122,NA,NA,NA,NA,Don Valley West (15),North York,3074276,"c(-79.3837259589611, 43.7486446150086)",-79.3837259589611,43.7486446150086,"c(-79.3837259589611, 43.7486446150086)"
65,18,FIRE STATION 143,1009 SHEPPARD AVE W,9741247,440887,9741246,REGULAR,1009,Sheppard Ave W,NA,Fire Station,"Land, Structure, Structure Entrance",NA,Fire Station 143,NA,NA,NA,NA,York Centre (6),North York,3083829,"c(-79.4597267967044, 43.7506541444208)",-79.4597267967044,43.7506541444208,"c(-79.4597267967044, 43.7506541444208)"
