_id,OBJECTID,ID,ADDRESSNUMBERTEXT,ADDRESSSTREET,FRONTINGSTREET,SIDE,FROMSTREET,DIRECTION,SITEID,WARD,BIA,ASSETTYPE,STATUS,SDE_STATE_ID,X,Y,LONGITUDE,LATITUDE,geometry
3629453,36393,BP-18475,1475,Dupont St,Dupont St,South,Campbell Ave,East,NA,09,NA,Ring,Existing,0,308855.939,4836226.424,-79.449707342,43.66597206,"c(-79.4497073373703, 43.6659720636479)"
3629454,36404,BP-00993,907,Kingston Rd,Kingston Rd,South,Balsam Ave,West,NA,19,NA,Ring,Temporarily Removed,0,321743.661,4837831.574,-79.289852953,43.680238439,"c(-79.2898529477989, 43.6802384374701)"
3629455,36444,BP-34818,718,Bathurst St,Bathurst St,West,Herrick St,North,NA,11,Mirvish Village,Ring,Existing,0,312015.151,4835924.393,-79.410537946,43.663229432,"c(-79.4105379468443, 43.6632294368725)"
3629456,36445,BP-29300,512,Queen St W,Queen St W,North,Portland St,North,NA,10,Queen Street West,Ring,Existing,0,312744.963,4834206.596,-79.401514153,43.647759524,"c(-79.401514152834, 43.6477595221701)"
3629457,36446,BP-32796,699A,St Clair Ave W,St Clair Ave W,South,Humewood Dr,West,NA,12,Hillcrest Village,Ring,Existing,0,310741.053,4837949.515,-79.426313415,43.681469474,"c(-79.4263134206952, 43.68146947806)"
3629458,36449,BP-33917,885,Dundas St E,Dundas St E,South,Ln E Broadview N Dundas,East,NA,14,NA,Ring,Existing,0,316863.426,4835857.058,-79.350424913,43.662560475,"c(-79.350424913272, 43.6625604812278)"
3629459,36450,BP-32059,1,Adelaide St E,Adelaide St E,South,Yonge St,East,NA,13,Financial District,Ring,Existing,0,314658.82,4834512.512,-79.377784421,43.650490276,"c(-79.3777844255535, 43.6504902762716)"
3629460,36451,BP-24352,852,Pape Ave,Fulton Ave,South,Pape Ave,West,NA,14,NA,Ring,Existing,0,317144.122,4838229.757,-79.346890272,43.683913229,"c(-79.3468902722854, 43.6839132332069)"
3629461,36452,BP-24837,915,Dupont St,Dupont St,South,Ln W Ossington S Dupont,West,NA,09,NA,Ring,Existing,0,310460.959,4836699.477,-79.429800525,43.670219675,"c(-79.429800527874, 43.670219679767)"
3629462,36454,BP-21515,2355,Dundas St W,Dundas St W,West,Edna Ave,South,NA,04,Bloor By The Park,Ring,Existing,0,308607.701,4835234.487,-79.452792421,43.657044612,"c(-79.452792424034, 43.6570446135826)"
3629463,36455,BP-32445,556,Spadina Cres,Spadina Cres,West,Spadina Ave,West,NA,11,NA,Ring,Existing,0,312739.991,4835571.864,-79.401555707,43.660048816,"c(-79.4015557130118, 43.660048820035)"
3629464,36456,BP-24254,2264,Dundas St W,Dundas St W,East,Roncesvalles Ave,North,NA,04,NA,Ring,Existing,0,308674.516,4834989.546,-79.451965814,43.654839467,"c(-79.4519658147193, 43.6548394689846)"
3629465,36458,BP-27345,405,Spadina Ave,Spadina Ave,East,Oxford St,East,NA,11,Chinatown,Ring,Existing,0,312918.635,4835202.929,-79.399346344,43.656725981,"c(-79.399346339313, 43.6567259837056)"
3629466,36459,BP-35963,233,Carlaw Ave,Carlaw Ave,East,Colgate Ave,North,NA,14,NA,Ring,Existing,0,317640.821,4835908.413,-79.340784769,43.66300972,"c(-79.340784763572, 43.6630097247296)"
3629467,36460,BP-34911,51,St Clair Ave E,St Clair Ave E,South,Ferndale Ave,West,NA,12,Yonge & St. Clair,Ring,Existing,0,313518.081,4838726.17,-79.391857577,43.688432978,"c(-79.3918575762544, 43.6884329834463)"
3629468,36461,BP-18907,2140,Yonge St,Yonge St,West,Hillsdale Ave W,North,NA,12,Midtown Yonge,Ring,Existing,0,313036.899,4840409.456,-79.397800601,43.703590193,"c(-79.3978006033974, 43.7035901942871)"
3629469,36462,BP-31003,190,University Ave,Richmond St W,South,University Ave,South,NA,10,Financial District,Ring,Existing,0,313971,4834421.144,-79.386312574,43.64967664,"c(-79.3863125700074, 43.6496766393402)"
3629470,36463,BP-27734,706,College St,College St,North,Montrose Ave,East,NA,11,Little Italy,Ring,Existing,0,311451.536,4835042.434,-79.417537172,43.655295877,"c(-79.4175371765424, 43.6552958813929)"
3629471,36464,BP-34184,730,Bathurst St,Bathurst St,West,Lennox St,South,NA,11,Mirvish Village,Ring,Existing,0,312003.245,4835965.005,-79.410685028,43.66359511,"c(-79.41068502951, 43.663595114313)"
3629472,36467,BP-35450,257,Adelaide St W,Adelaide St W,South,Ln N Adelaide W Duncan,South,NA,10,Toronto Entertainment District,Ring,Existing,0,313726.209,4834233.089,-79.389350201,43.647986863,"c(-79.3893502001888, 43.6479868686164)"
3629473,36473,BP-32983,485,Huron St,Huron St,East,Prince Arthur Ave,North,NA,11,NA,Ring,Existing,0,312692.57,4836555.247,-79.402129279,43.668901076,"c(-79.4021292837245, 43.6689010756973)"
3629474,36476,BP-03588,47,Claremont St,NA,NA,Robinson St,NA,NA,10,NA,NA,Existing,0,312047.198,4834217.75,-79.410163496,43.647867043,"c(-79.4101634946938, 43.6478670477972)"
3629475,36477,BP-23367,80,Queensdale Ave,Queensdale Ave,North,Bonnie Brae Blvd,South,NA,14,NA,Ring,Existing,0,318476.578,4838583.997,-79.330354295,43.68707851,"c(-79.3303543002297, 43.6870785102495)"
3629476,36478,BP-44062,1668,St Clair Ave W,St Clair Ave W,North,Laughton Ave,West,NA,09,St. Clair Gardens,Ring,Existing,0,308185.023,4837201.05,-79.458020414,43.674748344,"c(-79.4580204169406, 43.6747483486417)"
3629477,36481,BP-29804,99,Wellesley St W,Queen's Park Cres E,East,Wellesley St W,South,NA,11,NA,Ring,Existing,0,313637.874,4835936.268,-79.39041733,43.663318807,"c(-79.3904173289359, 43.6633188105397)"
3629478,36482,BP-44312,40,York St,Front St W,North,University Ave,East,NA,10,Toronto Entertainment District,Ring,Existing,0,314239.477,4833932.96,-79.382992954,43.645278964,"c(-79.38299295726, 43.6452789674017)"
3629479,36485,BP-30997,145,Queen St W,Richmond St W,North,Ln W York S Richmond,West,NA,10,Toronto Entertainment District,Ring,Existing,0,314042.434,4834495.164,-79.385425784,43.650342036,"c(-79.3854257804209, 43.6503420347256)"
3629480,36486,BP-44441,254,Queens Quay W,Queens Quay W,North,Robertson Cres,North,NA,10,The Waterfront,Ring,Existing,0,314045.216,4833252.619,-79.385412553,43.639157416,"c(-79.3854125547302, 43.6391574150142)"
3629481,36490,BP-06505,700,University Ave,NA,NA,Orde St,NA,NA,11,NA,NA,Existing,0,313635.579,4835481.955,-79.390453215,43.659229416,"c(-79.3904532207905, 43.659229417665)"
3629482,36492,BP-30184,409,Roxton Rd,Harbord St,South,Roxton Rd,East,NA,11,NA,Ring,Existing,0,311022.629,4835428.301,-79.422850127,43.658772915,"c(-79.4228501255146, 43.6587729145914)"
3629483,36493,BP-23134,38,Shirley St,Shirley St,North,Norfolk St,West,NA,09,NA,Ring,Existing,0,309940.899,4834277.578,-79.43627266,43.648423116,"c(-79.4362726579992, 43.6484231180399)"
3629484,36539,BP-07463,34,Western Battery Rd,Western Battery Rd,NA,Pirandello St,East,NA,10,NA,NA,Existing,0,311843.47,4833331.491,-79.412700464,43.639891463,"c(-79.4127004636684, 43.6398914672261)"
3629485,36548,BP-30020,2545A,Eglinton Ave W,Eglinton Ave W,South,Richardson Ave,West,NA,05,Eglinton Hill,Ring,Existing,0,307055.16,4838980.676,-79.472025046,43.690771601,"c(-79.4720250419079, 43.6907715992507)"
