street_address,latitude,longitude,number_of_spots
634 College St,43.655160097,-79.416662535,9
922 Yonge St,43.674091714,-79.38845365,1
934 Yonge St,43.674570332,-79.388641149,1
548 Spadina Cres,43.659904051,-79.401643093,1
22 Russell St,43.660091703,-79.398970132,4
44 St George St,43.660289272,-79.397443332,2
508 Spadina Ave,43.658606215,-79.400497711,1
455 Spadina Ave,43.65815154,-79.399913488,2
566 Dupont St,43.672414836,-79.418066802,4
98 Avenue Rd,43.672772084,-79.39592674,1
38 Walmer Rd,43.668398153,-79.406766231,3
191R Roxton Rd,43.653645336,-79.419905096,2
256D Augusta Ave,43.656342019,-79.402843298,1
191 Baldwin St,43.654627004,-79.401262444,2
725 Spadina Ave,43.666683726,-79.403274284,4
686 Bay St,43.657757758,-79.384690245,3
37 Madison Ave,43.668729941,-79.403350645,1
380 Huron St,43.664956777,-79.4009807,4
55 Elm St,43.65714468,-79.384418064,2
8 Park Rd,43.671429211,-79.38452764,5
141 Harbord St,43.66217406,-79.406081294,2
1156 Yonge St,43.680219104,-79.390960983,1
340 College St,43.657659036,-79.402922753,4
2 Elm St,43.657900854,-79.381781401,3
857 Bloor St W,43.662262046,-79.424044988,3
746 Bathurst St,43.664072753,-79.410877877,3
150 Elizabeth St,43.656461141,-79.385697138,1
87 Elm St,43.656867934,-79.386058234,3
677 Bloor St W,43.66390365,-79.4165269,1
162 Bloor St W,43.66897857,-79.394134902,3
164 Cumberland St,43.669780079,-79.393734034,3
50 Bloor St W,43.670734265,-79.388841194,4
574 University Ave,43.657529998,-79.389750178,3
409 1/2 College St,43.656506588,-79.4065868,3
454 College St,43.656482149,-79.408157433,2
200 College St,43.658848145,-79.395962546,3
40 Asquith Ave,43.671798477,-79.385008036,1
97 Collier St,43.672361662,-79.384917024,2
17 Park Rd,43.671520504,-79.384426306,1
1255 Bay St,43.671035497,-79.389916446,1
172 Brunswick Ave,43.662282951,-79.406344464,1
97 Scollard St,43.671790563,-79.391952522,2
1254 Bay St,43.671174982,-79.390205986,2
3 Walmer Rd,43.666513061,-79.40542157,3
1133 Yonge St,43.681442173,-79.391170174,5
350 Bloor St E,43.672063082,-79.378715414,3
562 College St,43.655614644,-79.412378293,3
161 Baldwin St,43.654917854,-79.399826813,1
6 Crescent Rd,43.677146535,-79.388963761,4
414 Dupont St,43.673889027,-79.411831247,1
263 Mc Caul St,43.65866848,-79.393164908,8
163 St George St,43.670636331,-79.40099216,1
3 Borden St,43.657196478,-79.405207143,7
271 College St,43.657764178,-79.400664638,5
594 Spadina Ave,43.661346607,-79.401628042,2
190 Dupont St,43.675589046,-79.403957118,2
266 Dupont St,43.675044949,-79.406595878,4
869 Yonge St,43.67309439,-79.390404279,11
240 Mc Caul St,43.658451696,-79.393073937,2
24 Spadina Rd,43.668871402,-79.404833765,3
25 Cecil St,43.656710237,-79.396171502,2
170 College St,43.65940077,-79.392959111,6
661 College St,43.659221818,-79.389948311,2
609-615 Manning Ave,43.661072064,-79.414811137,8
960 Bay St,43.664818437,-79.38747414,2
280 College St,43.657911571,-79.400986433,3
538 Manning Ave,43.660558511,-79.414909903,6
825 Bloor St W,43.662605412,-79.42246862,2
3 Baldwin St,43.656188394,-79.392431806,2
207 Beverley St,43.657190394,-79.395142909,3
794 Bathurst St,43.665469736,-79.411440773,1
16 Spadina Rd,43.668125042,-79.404544386,1
56D Kensington Ave,43.654216748,-79.400537104,2
488 University Ave,43.65503991,-79.388951908,2
163 Dupont St,43.675608572,-79.403110076,1
39 Prince Arthur Ave,43.669285186,-79.397477996,3
828 Dupont St,43.670541163,-79.427111645,1
860 Dupont St,43.670213808,-79.428632219,1
840 Dupont St,43.670523276,-79.427196982,3
261 Davenport Rd,43.674341386,-79.398003283,1
326 Davenport Rd,43.674704955,-79.400711417,1
141 St George St,43.668776812,-79.399800893,3
14 Prince Arthur Ave,43.669634399,-79.39582301,1
25 Yorkville Ave,43.671593646,-79.388818061,3
473 Bloor St W,43.665957629,-79.406927334,1
700 Bay St,43.658154711,-79.384843197,5
64-72 Hayter St,43.659325539,-79.385327348,2
1002 Bathurst St,43.670555315,-79.413442704,2
1012 Bathurst St,43.670722826,-79.413505874,3
511 Bloor St W,43.665561281,-79.408716066,4
461 Bloor St W,43.666040202,-79.406544547,1
525 Bloor St W,43.665487622,-79.409204416,2
896A Bathurst St,43.667705486,-79.412316842,1
425 Bloor St W,43.666386101,-79.404904432,5
656A Bloor St W,43.664232898,-79.415633922,1
571 Bloor St W,43.664986234,-79.411559159,5
605 Bloor St W,43.664651478,-79.413090709,1
605 Markham St,43.664909129,-79.411925502,2
219 Harbord St,43.661487937,-79.409441644,3
1177 Yonge St,43.682476557,-79.391690936,3
465 University Ave,43.655036518,-79.388066396,5
525 University Ave,43.655846837,-79.388491045,5
110 Elm St,43.657078533,-79.389020261,9
657 University Ave,43.658935618,-79.390042418,1
585 University Ave,43.65784095,-79.389360428,9
958 Bay St,43.664634384,-79.387415306,2
286 Harbord St,43.661468383,-79.413778619,5
698 Spadina Ave,43.664788987,-79.403025901,4
200 Elizabeth St,43.659165674,-79.386901777,10
118 Edward St,43.655921829,-79.386759306,3
610 Bay St,43.656308336,-79.384235157,3
550 University Ave,43.657566758,-79.389089874,6
96 Walton St,43.658031706,-79.385171278,1
44 Gerrard St W,43.658756728,-79.384003881,2
660 Bloor St W,43.664205665,-79.415762921,1
648A Bloor St W,43.664298981,-79.415329628,2
604 Bloor St W,43.664735899,-79.413351111,1
20A Charles St E,43.668897272,-79.385077131,2
95A Bloor St W,43.669119162,-79.390826731,6
37 Charles St W,43.668608502,-79.387522038,3
128 Dundas St W,43.65563266,-79.384503894,1
210 Dundas St W,43.654978623,-79.387577076,1
20 Dundas St W,43.656260241,-79.381570926,2
5 Baldwin St,43.65614036,-79.392627044,1
186 St George St,43.66916418,-79.400591589,2
287 Davenport Rd,43.674198765,-79.399665837,2
115 Cumberland St,43.670085822,-79.391902108,11
233A College St,43.65829476,-79.397590559,2
381 Spadina Ave,43.656343281,-79.399198208,1
349 Spadina Ave,43.655310776,-79.398761913,4
229 College St,43.658318386,-79.39747204,2
287 Ossington Ave,43.65058104,-79.42113264,1
796 Dundas St W,43.651912385,-79.40824463,2
846 Dundas St W,43.651527732,-79.410131444,1
125 Queen's Park,43.668438242,-79.393882076,3
589 Markham St,43.663734091,-79.411901378,1
6 Gore St,43.654641468,-79.414218076,4
176 Elm St,43.656289231,-79.389608356,13
674 Bay St,43.657564899,-79.384612304,5
59 College St,43.660615586,-79.385883371,2
740-746 Bay St,43.659437987,-79.385376525,2
355 Spadina Ave,43.655618982,-79.398902578,1
223 College St,43.65837735,-79.397168289,2
412 Spadina Ave,43.656202652,-79.399531358,2
422 Spadina Ave,43.656400426,-79.399633592,1
184 College St,43.659063821,-79.394525118,5
459 College St,43.656225867,-79.408409287,2
398 Bloor St W,43.666004291,-79.407342154,2
444 Bloor St W,43.665693731,-79.408822587,4
326 Bloor St W,43.666856923,-79.403305569,3
2 Roxborough St E,43.67826936,-79.389967392,3
12 Shaftesbury Ave,43.682100312,-79.391223102,4
121 St George St,43.666319048,-79.399159377,2
351 Bloor St W,43.667036315,-79.401389294,3
80 Hayden St,43.670479011,-79.381450926,4
460 Manning Ave,43.657763181,-79.413608087,7
766 College St,43.655017429,-79.420233141,9
452 College St,43.656502163,-79.40805938,4
602 College St,43.655195715,-79.414270113,2
590 College St,43.655341654,-79.413529974,1
414 Manning Ave,43.657517833,-79.413508381,2
615 College St,43.654983463,-79.414653341,1
394 Euclid Ave,43.655805238,-79.411544624,2
710 College St,43.655290097,-79.418518896,1
787 Dupont St,43.67062453,-79.426105734,1
317 Bloor St W,43.667545059,-79.399257169,4
235 Bloor St W,43.668285162,-79.395688444,1
1 Ted Rogers Way,43.670785245,-79.380085457,2
707 Yonge St,43.669266967,-79.386267979,1
2 Roxborough St W,43.67822865,-79.390230965,2
880 Bay St,43.663288909,-79.386828934,3
208 Christie St,43.66929658,-79.420767679,4
641 Dupont St,43.671684405,-79.420790563,1
118 Christie St,43.666126153,-79.419512046,3
40 Rossmore Rd,43.670984323,-79.414895416,3
105 Christie St,43.666207068,-79.41954443,2
101 Davenport Rd,43.674034439,-79.391925045,3
397 Spadina Ave,43.656626802,-79.399313354,1
180 Mc Caul St,43.656495303,-79.392442862,1
60 Murray St,43.658024263,-79.391320314,2
27 Baldwin St,43.656023004,-79.393168444,2
405 Spadina Ave,43.656854248,-79.399397473,2
175 College St,43.659024183,-79.393927464,2
245-247 College St,43.658098969,-79.398586504,1
219 College St,43.658453346,-79.396731385,1
243 College St,43.658072286,-79.398721882,1
323 Spadina Ave,43.654164052,-79.398315578,3
6 Oxford St,43.656842594,-79.399800232,2
872 Dundas St W,43.651297642,-79.411267447,3
1052 Dundas St W,43.650039811,-79.417538693,1
256 Crawford St,43.650061213,-79.417398584,5
65 Grace St,43.652148505,-79.414410268,3
790 Dundas St W,43.651952072,-79.408063317,1
246 Clinton St,43.660663637,-79.416512651,1
442-444 Spadina Ave,43.657131218,-79.399929246,1
454 Spadina Ave,43.657283438,-79.399987448,2
651 College St,43.654937124,-79.416058632,2
657 College St,43.654963075,-79.416251807,2
307 Palmerston Blvd,43.656102482,-79.409967894,2
712 College St,43.655271728,-79.418640289,1
706 College St,43.655270214,-79.417399574,12
460 College St,43.656409895,-79.408483634,1
605 College St,43.655051097,-79.414334271,2
436 Bloor St W,43.6657942,-79.408348926,1
264 Bloor St W,43.667525039,-79.400179611,5
360A Bloor St W,43.666478093,-79.405074152,2
524 Bloor St W,43.665269779,-79.410855509,1
532 Bloor St W,43.665246599,-79.410957175,1
910 Dundas St W,43.651066788,-79.41242613,1
148 Augusta Ave,43.652637076,-79.401332508,1
850 Bloor St W,43.662386517,-79.424080197,1
589 College St,43.655219531,-79.413490274,1
836 Bloor St W,43.662447342,-79.423806696,1
831 College St,43.654374154,-79.422445503,1
826 Bloor St W,43.662623748,-79.423004209,5
799 Bloor St W,43.662827058,-79.421458377,3
110 Charles St E,43.670254682,-79.380101027,5
625 Church St,43.669735068,-79.382510374,2
129 Mc Caul St,43.654453352,-79.391418755,1
140 Mc Caul St,43.654737285,-79.391695688,1
320 St George St,43.675031009,-79.403466465,1
40 Bedford Rd,43.670216378,-79.398578925,3
239 College St,43.658142432,-79.398366395,12
278 Dupont St,43.67519201,-79.407354699,10
332 Bloor St W,43.666916886,-79.403817285,6
328A Dupont St,43.674496446,-79.409074814,2
152 Spadina Rd,43.673648921,-79.406725847,1
156 Spadina Rd,43.673748358,-79.406754683,1
318 Dupont St,43.674600488,-79.408686346,4
354 Dupont St,43.674185938,-79.40975695,2
119 Yorkville Ave,43.670688126,-79.393166282,2
111 Avenue Rd,43.673284338,-79.395784524,2
188 Davenport Rd,43.675023591,-79.395523991,1
2 Follis Ave,43.669603478,-79.413243023,1
808 Church St,43.672039239,-79.385144779,5
802 Church St,43.671849864,-79.384785492,3
429 Spadina Ave,43.65718829,-79.399523966,3
374 Spadina Ave,43.655031505,-79.399038931,1
214 College St,43.658587188,-79.396962448,3
