occupancy_date,id,occupied_beds
2021-07-04,7299057,NA
2021-07-04,7299058,26
2021-07-04,7299059,23
2021-07-04,7299060,25
2021-07-04,7299061,NA
2021-07-04,7299062,44
2021-07-04,7299063,2
2021-07-04,7299064,25
2021-07-04,7299065,21
2021-07-04,7299066,23
2021-07-04,7299067,5
2021-07-04,7299068,NA
2021-07-04,7299069,46
2021-07-04,7299070,NA
2021-07-04,7299071,59
2021-07-04,7299072,18
2021-07-04,7299073,49
2021-07-04,7299074,31
2021-07-04,7299075,41
2021-07-04,7299076,NA
2021-07-04,7299077,NA
2021-07-04,7299078,124
2021-07-04,7299079,37
2021-07-04,7299080,88
2021-07-04,7299081,31
2021-07-04,7299082,3
2021-07-04,7299083,75
2021-07-04,7299084,17
2021-07-04,7299085,NA
2021-07-04,7299086,15
2021-07-04,7299087,25
2021-07-04,7299088,33
2021-07-04,7299089,14
2021-07-04,7299090,9
2021-07-04,7299091,NA
2021-07-04,7299092,9
2021-07-04,7299093,14
2021-07-04,7299094,17
2021-07-04,7299095,12
2021-07-04,7299096,24
2021-07-04,7299097,19
2021-07-04,7299098,42
2021-07-04,7299099,NA
2021-07-04,7299100,27
2021-07-04,7299101,NA
2021-07-04,7299102,NA
2021-07-04,7299103,59
2021-07-04,7299104,NA
2021-07-04,7299105,49
2021-07-04,7299106,NA
2021-07-04,7299107,53
2021-07-04,7299108,NA
2021-07-04,7299109,164
2021-07-04,7299110,33
2021-07-04,7299111,NA
2021-07-04,7299112,18
2021-07-04,7299113,12
2021-07-04,7299114,39
2021-07-04,7299115,NA
2021-07-04,7299116,5
2021-07-04,7299117,15
2021-07-04,7299118,34
2021-07-04,7299119,3
2021-07-04,7299120,16
2021-07-04,7299121,NA
2021-07-04,7299122,24
2021-07-04,7299123,25
2021-07-04,7299124,23
2021-07-04,7299125,NA
2021-07-04,7299126,NA
2021-07-04,7299127,10
2021-07-04,7299128,8
2021-07-04,7299129,6
2021-07-04,7299130,24
2021-07-05,7299131,NA
2021-07-05,7299132,NA
2021-07-05,7299133,NA
2021-07-05,7299134,7
2021-07-05,7299135,NA
2021-07-05,7299136,NA
2021-07-05,7299137,NA
2021-07-05,7299138,NA
2021-07-05,7299139,NA
2021-07-05,7299140,NA
